#Digilent WaveForms Oscilloscope Acquisition
#Device Name: PlasmaStuff
#Serial Number: SN:210321A41FE0
#Date Time: 2018-11-27 16:29:38.254
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 8.6 V
#Channel 2: Range: 2 V/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.10050000000000001,-7.506649651782916,-0.15726104245927242
-0.10047500000000001,-7.5103224934149448,-0.16097842820615196
-0.10045,-7.5139953350469764,-0.16097842820615366
-0.100425,-7.5103224934149466,-0.16469581395303493
-0.1004,-7.5103224934149466,-0.16841319969991617
-0.10037500000000001,-7.5139953350469764,-0.17213058544679741
-0.10035000000000001,-7.5176681766790052,-0.17584797119367698
-0.100325,-7.517668176679007,-0.17584797119367868
-0.1003,-7.5250138599430683,-0.17956535694055992
-0.100275,-7.5250138599430683,-0.18328274268744116
-0.10025000000000001,-7.5286867015750989,-0.1870001284343224
-0.10022500000000001,-7.5286867015750989,-0.19071751418120197
-0.1002,-7.5323595432071295,-0.19071751418120367
-0.100175,-7.5360323848391602,-0.19443489992808491
-0.10015,-7.5360323848391602,-0.19815228567496615
-0.10012500000000001,-7.5397052264711899,-0.20186967142184739
-0.10010000000000001,-7.5397052264711899,-0.20186967142184739
-0.100075,-7.5397052264711899,-0.20558705716872866
-0.10005,-7.5433780681032214,-0.20186967142184739
-0.100025,-7.5433780681032214,-0.2093044429156099
-0.10000000000000001,-7.5470509097352512,-0.21302182866249114
-0.099975000000000008,-7.5470509097352512,-0.21302182866249114
-0.099949999999999997,-7.5507237513672818,-0.21673921440937241
-0.099925,-7.5507237513672818,-0.21673921440937241
-0.099900000000000003,-7.5507237513672818,-0.22045660015625365
-0.099875000000000005,-7.5543965929993124,-0.22417398590313489
-0.099850000000000008,-7.5580694346313431,-0.22789137165001613
-0.099824999999999997,-7.5580694346313431,-0.22789137165001613
-0.0998,-7.5580694346313431,-0.2316087573968974
-0.099775000000000003,-7.5507237513672818,-0.23532614314377864
-0.099750000000000005,-7.5433780681032214,-0.23904352889065988
-0.099725000000000008,-7.5543965929993124,-0.23904352889065988
-0.099699999999999997,-7.5580694346313448,-0.24276091463754285
-0.099675,-7.5617422762633737,-0.24647830038442239
-0.099650000000000002,-7.5654151178954043,-0.24647830038442239
-0.099625000000000005,-7.5727608011594647,-0.25019568613130366
-0.099600000000000008,-7.5727608011594647,-0.2539130718781849
-0.099574999999999997,-7.5764336427914927,-0.2539130718781849
-0.09955,-7.569087959527435,-0.2539130718781849
-0.099525000000000002,-7.569087959527435,-0.26134784337194739
-0.099500000000000005,-7.5727608011594647,-0.26134784337194739
-0.099475000000000008,-7.5654151178954043,-0.26134784337194739
-0.099449999999999997,-7.5690879595274385,-0.26506522911883029
-0.099424999999999999,-7.5764336427914962,-0.26878261486570987
-0.099400000000000002,-7.580106484423526,-0.27250000061259111
-0.099375000000000005,-7.580106484423526,-0.27621738635947241
-0.099350000000000008,-7.5837793260555566,-0.27993477210635365
-0.099324999999999997,-7.587452167687589,-0.27993477210635703
-0.099299999999999999,-7.5911250093196179,-0.28736954360011613
-0.099275000000000002,-7.5911250093196179,-0.28736954360011613
-0.099250000000000005,-7.5947978509516485,-0.29108692934699737
-0.099225000000000008,-7.5984706925836791,-0.29480431509387861
-0.099199999999999997,-7.5984706925836791,-0.29852170084075985
-0.099174999999999999,-7.5984706925836791,-0.29852170084075985
-0.099150000000000002,-7.6021435342157098,-0.30223908658764115
-0.099125000000000005,-7.6021435342157098,-0.30223908658764115
-0.099100000000000008,-7.6021435342157098,-0.30967385808140363
-0.099074999999999996,-7.5984706925836809,-0.30967385808140363
-0.099049999999999999,-7.6021435342157098,-0.30967385808140363
-0.099025000000000002,-7.6058163758477395,-0.31339124382828487
-0.099000000000000005,-7.6058163758477395,-0.31710862957516611
-0.098975000000000007,-7.6094892174797701,-0.32082601532204735
-0.098949999999999996,-7.6094892174797701,-0.32082601532204902
-0.098924999999999999,-7.6094892174797701,-0.32454340106892859
-0.098900000000000002,-7.6094892174797701,-0.32826078681580989
-0.098875000000000005,-7.6094892174797701,-0.33197817256269113
-0.098850000000000007,-7.6131620591118008,-0.33197817256269113
-0.098824999999999996,-7.6131620591117937,-0.33941294405645361
-0.098799999999999999,-7.5984706925836791,-0.33941294405645361
-0.098775000000000002,-7.5764336427914962,-0.34313032980333485
-0.098750000000000004,-7.5984706925836791,-0.3468477155502161
-0.098725000000000007,-7.6094892174797701,-0.35056510129709734
-0.098699999999999996,-7.6168349007438314,-0.35428248704397863
-0.098674999999999999,-7.6168349007438314,-0.35428248704397863
-0.098650000000000002,-7.6168349007438314,-0.35799987279085987
-0.098625000000000004,-7.620507742375862,-0.35799987279085987
-0.098600000000000007,-7.6168349007438314,-0.36171725853774112
-0.098574999999999996,-7.620507742375862,-0.3617172585377445
-0.098549999999999999,-7.620507742375862,-0.3691520300315036
-0.098525000000000001,-7.6094892174797701,-0.3691520300315036
-0.098500000000000004,-7.6131620591118008,-0.37286941577838484
-0.098475000000000007,-7.620507742375862,-0.37658680152526608
-0.098449999999999996,-7.6278534256399233,-0.37658680152526774
-0.098424999999999999,-7.6278534256399233,-0.38030418727214732
-0.098400000000000001,-7.6315262672719539,-0.38402157301902862
-0.098375000000000004,-7.6315262672719539,-0.38773895876590986
-0.098350000000000007,-7.6315262672719539,-0.38773895876590986
-0.09832500000000001,-7.6315262672719539,-0.39145634451278943
-0.098299999999999998,-7.6278534256399233,-0.39517373025967234
-0.098275000000000001,-7.6315262672719539,-0.39889111600655358
-0.098250000000000004,-7.6315262672719539,-0.39889111600655358
-0.098225000000000007,-7.6388719505360143,-0.40260850175343482
-0.09820000000000001,-7.6425447921680432,-0.4063258875003144
-0.098174999999999998,-7.6425447921680449,-0.41004327324719736
-0.098150000000000001,-7.6425447921680449,-0.4137606589940786
-0.098125000000000004,-7.6425447921680449,-0.4137606589940786
-0.098100000000000007,-7.6425447921680449,-0.4137606589940786
-0.098075000000000009,-7.6462176338000738,-0.41747804474095818
-0.098049999999999998,-7.6462176338000756,-0.42119543048784108
-0.098025000000000001,-7.6462176338000756,-0.42119543048784108
-0.098000000000000004,-7.6498904754321062,-0.42863020198160356
-0.097975000000000007,-7.6498904754321062,-0.43234758772848481
-0.097950000000000009,-7.6498904754321062,-0.43234758772848481
-0.097924999999999998,-7.6498904754321062,-0.4360649734753661
-0.097900000000000001,-7.6462176338000756,-0.43978235922224734
